Nº,User,Tipo de perfil,Concatenar Instagram Link,Categoria,Fonte,Status
118,casasemlixo,Pessoal,https://www.instagram.com/casasemlixo,Meio ambiente e sustentabilidade,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
119,canalsersustentavel,Pessoal,https://www.instagram.com/canalsersustentavel,Meio ambiente e sustentabilidade,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
120,alinibosko,Pessoal,https://www.instagram.com/alinibosko,Moda,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
121,andrezasiltos,Pessoal,https://www.instagram.com/andrezasiltos,Moda,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
122,pretaluuz,Pessoal,https://www.instagram.com/pretaluuz,Moda,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
123,prapretoler,Pessoal,https://www.instagram.com/prapretoler,Movimento Negro,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
124,euthalitacruz,Pessoal,https://www.instagram.com/euthalitacruz,Movimento Negro,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
125,tinnarios,Pessoal,https://www.instagram.com/tinnarios,Movimento Negro,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
126,omenorcasaldomundo,Pessoal,https://www.instagram.com/omenorcasaldomundo,PCD,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
127,mundo.autista,Pessoal,https://www.instagram.com/mundo.autista,PCD,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
128,caonutella,Pessoal,https://www.instagram.com/caonutella,PET,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
129,trigatos,Pessoal,https://www.instagram.com/trigatos,PET,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
130,ser.intime,Pessoal,https://www.instagram.com/ser.intime,Saúde,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
131,drguilhermeneif,Pessoal,https://www.instagram.com/drguilhermeneif,Saúde,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
132,renato_cassol,Pessoal,https://www.instagram.com/renato_cassol,Saúde,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
133,pellaes,Pessoal,https://www.instagram.com/pellaes,Startups,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
134,tenhametas_,Pessoal,https://www.instagram.com/tenhametas_,Startups,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
135,evelin_oliveirac,Pessoal,https://www.instagram.com/evelin_oliveirac,Fitness,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
136,susanabarbosa,Pessoal,https://www.instagram.com/susanabarbosa,Entretenimento,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
137,brisaletro,Pessoal,https://www.instagram.com/brisaletro,Maquiagem,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
138,maedotriodonadecasa,Pessoal,https://www.instagram.com/maedotriodonadecasa,Fitness,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
139,rogerseabra,Pessoal,https://www.instagram.com/rogerseabra,Empreendedorismo,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
140,"vinidalpino",Pessoal,"https://www.instagram.com/vinidalpino",Entretenimento,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
141,clarinha_summer,Pessoal,https://www.instagram.com/clarinha_summer,Infantil,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
142,riiguetto,Pessoal,https://www.instagram.com/riiguetto,Lifestytle,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
143,rosatersi,Pessoal,https://www.instagram.com/rosatersi,Moda,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
144,biafernandesoriginal,Pessoal,https://www.instagram.com/biafernandesoriginal,Moda,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
145,carlosrickoficial,Pessoal,https://www.instagram.com/carlosrickoficial,Esportes,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
146,rebecacastro05,Pessoal,https://www.instagram.com/rebecacastro05,Maquiagem,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
147,drlouisgoldstein,Pessoal,https://www.instagram.com/drlouisgoldstein,Saúde,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
148,dompablitto,Pessoal,https://www.instagram.com/dompablitto,Lifestytle,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
149,home_anna.diniz35,Pessoal,https://www.instagram.com/home_anna.diniz35,Auto-cuidado,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
150,vanzinhav,Pessoal,https://www.instagram.com/vanzinhav,Lifestytle,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
151,adrianamagalhaes.of,Pessoal,https://www.instagram.com/adrianamagalhaes.of,Lifestytle,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
152,andreecarti,Pessoal,https://www.instagram.com/andreecarti,Lifestytle,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
153,bielazevedo,Pessoal,https://www.instagram.com/bielazevedo,Lifestytle,https://www.affable.ai/ranking/microinfluencers-influencers-brazil-instagram,Aguardando extração
